Marine ID,Time To Auxiliary Holding Area,Waiting For Green Corpsman,Time With Green Corpsman,MEAN
9,0.0,0.0,0.7050248756676183,0.2350082918892061
12,0.0,0.0,17.528887150919786,5.842962383639929
16,0.0,0.0,2.2104363385714123,0.7368121128571374
17,0.0,0.0,12.174135808430492,4.058045269476831
21,0.0,0.0,11.954168649452413,3.984722883150804
23,0.0,0.0,12.829162095375295,4.276387365125099
24,0.0,0.0,24.213016571882008,8.07100552396067
25,0.0,0.0,31.634798882922496,10.544932960974165
33,0.0,0.0,11.849205547938482,3.9497351826461604
41,0.0,0.0,22.063320318166916,7.354440106055638
MEAN,0.0,0.0,14.716215623932692,4.905405207977564
