Marine ID,Time To Main Battle Dressing Station,Waiting For Red Doctor,Time With Red Doctor,MEAN
7,0.0,0.0,148.6854113763943,49.561803792131435
10,0.0,0.0,216.98723164612204,72.32907721537401
15,0.0,0.0,30.158235317095432,10.052745105698477
19,0.0,0.0,65.96090055286254,21.98696685095418
20,0.0,0.0,43.1765258315578,14.392175277185933
22,0.0,0.0,49.34636244282137,16.448787480940457
26,0.0,0.0,14.773346730697767,4.924448910232589
28,0.0,0.0,50.71922670735444,16.906408902451478
31,0.0,0.0,84.81582008294481,28.27194002764827
35,0.0,0.0,20.267298397534205,6.755766132511401
39,0.0,0.0,35.432063246768166,11.810687748922723
42,0.0,0.0,242.68878890600604,80.89626296866868
47,0.0,0.0,214.53557554531653,71.51185851510552
MEAN,0.0,0.0,93.65744513719042,31.219148379063476
